"NOM_MUN","Región","cve_mun","Agencias.de.cobranza.y.comunicaciones","Asociaciones.y.organizaciones.civiles","Comunicaciones.y.transportes.paqueteria","Consultorio.y.otros.servicios.medicos","Cultura.esparcimiento.y.deporte","Educacion.y.otros.sdervicios.educacion","Hospedaje","Servicios.de.belleza.y.funerarios","Servicios.y.mantenimiento.a.automoviles.diversos","Alimentos.y.bebidas","Alquileres.diversos","Banca.y.seguros","Comercio.minorista.diverso","Explotacion.de.animales","Industria.alimentaria.y.de.bebidas","Manufactura.metal.y.herreria","Maquiladoras.y.textileras","Minería.No.Metálicos","Organismos.operadores.de.agua","Servicios.de.publicidad","Tortillerías.y.panificadoras","Construccion","Fabricación.de.muebles","Fabricas.diversas","Industria.del.papel","Fabricación.de.material.de.construcción","Fertilizantes.y.agricultura","Generación..transmision..distribucion.energía.eléctrica","Industria.Química","Petroquimica","Turismo","Fabricación.de.carrocerías..y.equipo.de.transporte.etc","Fabricación.de.maquinaria","Fabricación.de.equipo.electrónico.y.eléctrico","Minería.Metálicos"
"San Salvador","Región Actopan",54,0.496331613,8.839396039,1.121114221,1.108128063,1.131591284,3.288551482,NA,1.618769108,2.730412197,6.398790157,0.667139313,0.089918753,21.48531561,0.306965079,0.409381715,0.450732763,0.343049183,0.014450236,0.302523031,0.067418811,2.276320106,0.010374972,0.142559804,0.004618117,NA,0.020636636,NA,NA,0.003445369,NA,NA,NA,NA,NA,NA
"Santiago de Anaya","Región Actopan",55,0.337417614,5.893145298,NA,0.326736486,0.027670359,1.164704877,0.012430225,0.387160575,0.701847351,0.933784821,0.399913524,0.533310268,2.852764219,NA,0.025983917,0.047291626,0.43517297,NA,0.522686693,NA,1.358759711,0.0059266,0.036193723,0.042208855,NA,163.2166606,NA,NA,0.031490123,NA,NA,NA,NA,NA,NA
"Santiago Tulantepec de Lugo Guerrero","Región Tulancingo",56,0.753295196,8.553800967,0.234743588,1.571054652,1.335728347,4.760021724,0.202303765,4.428961426,8.612316952,14.12758534,4.209733807,0.018347901,35.0434837,19.18232257,2.266011474,4.369721953,22.53172001,0.047177078,0.630396176,0.123811139,1.273083746,0.525150981,1.900702678,1.507721063,0.05943783,0.151592431,NA,NA,0.118811509,NA,NA,0.271996839,NA,0.249483491,NA
"Singuilucan","Región Tulancingo",57,0.197195491,5.797258586,0.133577095,0.703137261,0.036385348,1.720835561,NA,1.168732182,0.922899504,2.782586872,0.386352974,0.00333546,13.38881219,NA,0.609113948,0.492714849,28.88909883,0.019296691,0.305471483,0.005626898,0.600449116,NA,0.169807877,0.098671741,0.010805186,0.062005373,NA,NA,0.018403634,NA,NA,NA,NA,NA,NA
"Tasquillo","Región Ixmiquilpan",58,0.578302289,6.02832742,0.211726283,2.218022847,0.088185889,1.924266398,0.72117511,1.776797472,0.928961986,2.313624779,0.503569797,0.104769109,13.0404537,299.4117823,0.309529759,0.250379931,0.018594495,NA,0.240543124,0.034912548,2.97591722,NA,0.373733976,0.005380813,0.037710934,0.00601121,NA,NA,0.004014382,NA,NA,NA,NA,NA,NA
"Tecozautla","Región Huichapan",59,1.61259897,2.486822493,0.084758897,2.051272708,5.08898962,2.959452072,18.60092717,1.037607015,3.13073985,1.697447014,1.810826005,0.253878588,20.54589533,13.59111664,0.251720044,1.200927166,0.070916943,0.197467713,1.074776047,0.171792459,2.245677442,NA,0.788912717,0.018776005,0.074019326,0.083902941,1.015709642,0.010890083,NA,NA,NA,NA,NA,NA,NA
"Tenango de Doria","Región Tulancingo",60,0.312286387,13.10690051,0.01439577,0.318967683,0.160059004,1.849880988,0.103539676,0.426435696,0.288699114,2.218394365,0.120857971,0.190157852,7.395194295,0.349104791,0.006012152,0.238299495,1.214976544,NA,0.077401028,NA,0.770224454,NA,0.008374494,0.574039856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tepeapulco","Región Apan",61,1.062449285,19.67029276,6.586494031,9.012864973,1.489332034,26.43651203,0.917002443,5.999920775,9.675822551,14.02892793,2.799366358,4.475732997,75.96500713,0.089833159,2.018023038,77.34106596,0.695652462,0.17866906,0.150623585,1.091396979,5.884961006,1.916667531,1.320048367,0.684191439,16.11684091,0.049918588,NA,12.64293878,41.85801425,NA,0.488510207,393.7212325,40.0839429,0.01431243,NA
"Tepehuacán de Guerrero","Región Zacualtipán",62,0.13489586,19.80900524,0.006218426,0.258007153,0.011062306,2.549637754,0.178900833,0.020467114,0.003464085,0.560946559,0.013051513,0.405634424,1.574806945,NA,0.010388085,0.008402966,NA,21.12051365,0.13373722,0.015396806,0.20126763,NA,0.014469854,NA,0.029566088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tepeji del Río de Ocampo","Región Tula",63,1.5549171,24.9597528,21.78619,7.327485488,6.486137327,13.50151228,1.155102848,4.064984096,4.864711938,14.71250799,2.078500846,4.907850688,100.6792342,1.035614001,7.555384387,26.03928365,139.3414708,NA,0.696496462,0.955867625,20.06246222,11.38276858,0.718466268,0.027698185,10.1331957,0.065058092,0.134852876,0.339934286,28.75012678,NA,0.109880121,NA,0.023367196,211.0724541,NA
